Name,Rarity,Attune,Type,Cost,Consumable?,Tool Proficiency,Spells Needed,Item Needed,Other Requirements,Description,Source,Craftable?,Lootable?,PLACEHOLDER
Rod of Security,Very Rare,No,Rod,90000,No,Smith Tools,,,,While holding this roda445 you can use an action to activate it. The rod then instantly transports you and up to 199 other willing creatures you can see to a paradise that exists in an extraplanar space. You choose the form that the paradise takes. It could be a tranquil gardena445 lovely gladea445 cheery taverna445 immense palacea445 tropical islanda445 fantastic carnivala445 or whatever else you can imagine. Regardless of its naturea445 the paradise contains enough water and food to sustain its visitors. Everything else that can be interacted with inside the extraplanar space can exist only there. For examplea445 a flower picked from a garden in the paradise disappears if it is taken outside the extraplanar space.a446For each hour spent in the paradisea445 a visitor regains hit points as if it had spent 1 Hit Die. Alsoa445 creatures don't age while in the paradisea445 although time passes normally. Visitors can remain in the paradise for up to 200 days divided by the number of creatures present (round down).a446When the time runs out or you use an action to end ita445 all visitors reappear in the location they occupied when you activated the roda445 or an unoccupied space nearest that location. The rod can't be used again until ten days have passed., DMGa445 page 197,Yes,Yes,a
Rod of the Pact Keeper +3,Very Rare,Yes,Rod,28000,No,Smith Tools,,,,While holding this roda445 you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your warlock spells.a446In additiona445 you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest.,DMGa445 page 197,Yes,Yes,a
Rod of Lordly Might,Legendary,Yes,Mace,28000,No,Smith Tools,,,,This rod has a flanged heada445 and it functions as a magic mace that grants a +3 bonus to attack and damage roll made with it. The rod has properties associated with six different buttons that are set in a row along the haft. It has three other properties as wella445 detailed below.a446Six Buttons. You can press one of the rod's six buttons as a bonus action. A button's effect lasts until you push a different button or until you push the same button againa445 which causes the rod to revert to its normal form.a446If you press button 1a445 the rod becomes a flame tongue as a fiery blade sprouts from the end opposite the rod's flanged head (you choose the type of sword).a446If you press button 2a445 the rod's flanged head folds down and two crescent-shaped blades spring outa445 transforming the rod into a magic battleaxe that grants a +3 bonus to attack and damage rolls made with it.a446If you press button 3a445 the rod's flanged head folds downa445 a spear point springs from the rod's tipa445 and the rod's handle lengthens into a 6-foot hafta445 transforming the rod into a magic spear that grants a+3 bonus to attack and damage rolls made with it.a446If you press button 4a445 the rod transforms into a climbing pole up to 50 feet longa445 as you specify. In surfaces as hard as granitea445 a spike at the bottom and three hooks at the top anchor the pole. Horizontal bars 3 inches long fold out from the sidesa445 1 foot aparta445 forming a ladder. The pole can bear up to 4a445000 pounds. More weight or lack of solid anchoring causes the rod to revert to its normal form.a446If you press button 5a445 the rod transforms into a handheld battering ram and grants its user a +10 bonus to Strength checks made to break through doorsa445 barricadesa445 and other barriers.a446If you press button 6a445 the rod assumes or remains in its normal form and indicates magnetic north. (Nothing happens if this function of the rod is used in a location that has no magnetic north.) The rod also gives you knowledge of your approximate depth beneath the ground or your height above it.a446Drain Life. When you hit a creature with a melee attack using the roda445 you can force the target to make a DC 17 Constitution saving throw. On a failurea445 the target rakes an extra 4d6 necrotic damagea445 and you regain a number of hit points equal to half that necrotic damage. This property can't be used again until the next dawn.a446Paralyze. When you hit a creature with a melee attack using the roda445 you can force the target to make a DC 17 Strength saving throw. On a failurea445 the target is paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turnsa445 ending the effect on a success. This property can't be used again until the next dawn.a446Terrify. While holding the roda445 you can use an action to force each creature you can see within 30 feet of you to make a DC 17 Wisdom saving throw. On a failurea445 a target is frightened of you for 1 minute. A frightened target can repeat the saving throw at the end of each of its turnsa445 ending the effect on itself on a success. This property can't be used again until the next dawn.,DMGa445 page 196,Yes,Yes,a
Rod of Resurrection,Legendary,Yes,Rod,125000,No,Smith Tools,Heal Resurrection,,,The rod has 5 charges. While you hold ita445 you can use an action to cast one of the following spells from it: heal (expends 1 charge) or resurrection (expends 5 charges).a446The rod regains 1 expended charge daily at dawn. If the rod is reduced to 0 chargesa445 roll a d20. On a 1a445 the rod disappears in a burst of radiance.,DMGa445 page 197,Yes,Yes,a
Wands,,,,,,,,,,,,,,a
Wand of Conducting,Common,No,Wand,90,No,Woodcarver’s Tools,,,,This wand has 3 charges. While holding ita445 you can use an action to expend 1 of its charges and create orchestral music by waving it around. The music can be heard out to a range of 60 feet and ends when you stop waving the wand.a446The wand regains all expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 a sad tuba sound plays as the wand crumbles to dust and is destroyed.,XGEa445 page 140,Yes,Yes,a
Want of Pyrotechnics,Common,No,Wand,65,No,Woodcarver’s Tools,,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges and create a harmless burst of multicolored light at a point you can see up to 60 feet away. The burst of light is accompanied by a crackling noise that can be heard up to 300 feet away. The light is as bright as a torch flame but lasts only a second.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand erupts in a harmless pyrotechnic display and is destroyed.,XGEa445 page 140,Yes,Yes,a
Wand of Scowls/Smiles,Common,No,Wand,60,No,Woodcarver’s Tools,,,,This wand has 3 charges. While holding ita445 you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to scowl for 1 minute.a446The wand regains all expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand transforms into a wand of smiles.a446This wand has 3 charges. While holding ita445 you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to smile for 1 minute.a446The wand regains all expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand transforms into a wand of scowls.,XGEa445 page 140,Yes,Yes,a
Wand of Entangle,Uncommon,Yes,Wand,300,No,Woodcarver’s Tools,Entangle,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges to cast the entangle spell (save DC 13) from it.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,TftYPa445 page 229,Yes,Yes,a
Wand of Magic Detection,Uncommon,No,Wand,1500,No,Woodcarver’s Tools,Detect Magic,,,This wand has 3 charges. While holding ita445 you can expend 1 charge as an action to cast the detect magic spell from it. The wand regains 1d3 expended charges daily at dawn.,DMGa445 page 211,Yes,Yes,a
Wand of Magic Missiles,Uncommon,No,Wand,8000,No,Woodcarver’s Tools,Magic Missile,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 or more of its charges to cast the magic missile spell from it. For 1 chargea445 you cast the 1st-level version of the spell. You can increase the spell slot level by one for each additional charge you expend.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 211,Yes,Yes,a
Wand of Secrets,Uncommon,No,Wand,1500,No,Woodcarver’s Tools,,,,The wand has 3 charges. While holding it. you can use an action to expend 1 of its chargesa445 and if a secret door or trap is within 30 feet of youa445 the wand pulses and points at the one nearest to you. The wand regains 1d3 expended charges daily at dawn.,DMGa445 page 211,Yes,Yes,a
Wand of Web,Uncommon,Yes,Wand,8000,No,Woodcarver’s Tools,Web,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges to cast the web spell (save DC 15) from it.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 212,Yes,Yes,a
Wand of Binding,Rare,Yes,Wand,10000,No,Woodcarver’s Tools,Hold Monster Hold Person,,,This wand has 7 charges for the following properties. It regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.a446Spells. While holding the wanda445 you can use an action to expend some of its charges to cast one of the following spells (save DC 17): hold monster (5 charges) or hold person (2 charges).a446Assisted Escape. While holding the wanda445 you can use your reaction to expend 1 charge and gain advantage on a saving throw you make to avoid being paralyzed or restraineda445 or you can expend 1 charge and gain advantage on any check you make to escape a grapple.,DMGa445 page 209,Yes,Yes,a
Wand of Enemy Detection,Rare,Yes,Wand,4000,No,Woodcarver’s Tools,,,,This wand has 7 charges. While holding ita445 you can use an action and expend 1 charge to speak its command word. For the next minutea445 you know the direction of the nearest creature hostile to you within 60 feeta445 but not its distance from you. The wand can sense the presence of hostile creatures that are ethereala445 invisiblea445 disguiseda445 or hiddena445 as well as those in plain sight. The effect ends if you stop holding the wand.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 210,Yes,Yes,a
Wand of Fear,Rare,Yes,Wand,10000,No,Woodcarver’s Tools,Command,,,This wand has 7 charges for the following properties. It regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.a446Command. While holding the wanda445 you can use an action to expend 1 charge and command another creature to flee or grovela445 as with the command spell (save DC 15).a446Cone of Fear. While holding the wanda445 you can use an action to expend 2 chargesa445 causing the wand's tip to emit a 60-foot cone of amber light. Each creature in the cone must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. While it is frightened in this waya445 a creature must spend its turns trying to move as far away from you as it cana445 and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its actiona445 it can use only the Dash action or try to escape from an effect that prevent it from moving. If it has nowhere it can movea445 the creature can use the Dodge action. At the end of each of its turnsa445 a creature can repeat the saving throwa445 ending the effect on itself on a success.,DMGa445 page 210,Yes,Yes,a
Wand of Fireballs,Rare,Yes,Wand,32000,No,Woodcarver’s Tools,Fireball,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 or more of its charges to cast the fireball spell (save DC 15) from it. For 1 chargea445 you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 210,Yes,Yes,a
Wand of Lightning Bolts,Rare,Yes,Wand,32000,No,Woodcarver’s Tools,Lightning Bolt,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 or more of its charges to cast the lightning bolt spell (save DC 15) from it. For 1 chargea445 you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 211,Yes,Yes,a
Wand of Paralysis,Rare,Yes,Wand,16000,No,Woodcarver’s Tools,,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges to cause a thin blue ray to streak from the tip toward a creature you can see within 60 feet of you. The target must succeed on a DC 15 Constitution saving throw or be paralyzed for 1 minute. At the end of each of the target's turnsa445 it can repeat the saving throwa445 ending the effect on itself on a success.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 211,Yes,Yes,a
Wand of Viscid Globs,Rare,Yes,Wand,900,No,Woodcarver’s Tools,,,,Crafted by the drowa445 this slim black wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges to cause a small glob of viscous material to launch from the tip at one creature within 60 feet of you. Make a ranged attack roll against the targeta445 with a bonus equal to your spellcasting modifier (or your Intelligence modifiera445 if you don't have a spellcasting modifier) plus your proficiency bonus. On a hita445 the glob expands and dries on the targeta445 which is restrained for 1 hour. After that timea445 the viscous material cracks and falls away.a446Applying a pint or more of alcohol to the restrained creature dissolves the glob instantlya445 as does the application of oil of etherealness or universal solvent. The glob also dissolves instantly if exposed to sunlight. No other nonmagical process can remove the viscous material until it deteriorates on its own.a446The wand regains 1d6 + 1 expended charges daily at midnight. If you expend the wands last chargea445 roll a d20. On a 1a445 the wand melts into harmless slime and is destroyed.a446A wand of viscous globs is destroyed if exposed to sunlight for 1 hour without interruption.,OotAa445 page 223,Yes,Yes,a
Wand of Winter,Rare,Yes,Wand,4100,No,Woodcarver’s Tools,Ray of Frosta445 Sleet Storm Ice Storm,,,This wand looks and feels like an icicle. You must be attuned to the wand to use it.a446The wand has 7 chargesa445 which are used to fuel the spells within it. With the wand in handa445 you can use your action to cast one of the following spells from the wanda445 even if you are incapable of casting spells: ray of frost (no chargesa445 or 1 charge to cast at 5th level; +5 to hit with ranged spell attack)a445 sleet storm (3 charges; spell save DC 15)a445 or ice storm (4 charges; spell save DC 15). No components are required. The wand regains 1d6 + 1 expended charges each day at dawn. If you expend the wand's last chargea445 roll a d20. On a 20a445 the wand melts awaya445 forever destroyed.,HotDQa445 page 94,Yes,Yes,a
Wand of Wonder,Rare,Yes,Wand,2250,No,Woodcarver’s Tools,Slow Faerie Fire Gust of Wind Detect Thoughts Stinking Cloud Lightning Bolt Enlarge/Reduce Darkness Fireball Invisibility ,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges and choose a target within 120 feet of you. The target can be a creaturea445 an objecta445 or a point in space. Roll d100 and consult the following table to discover what happens.a446If the effect causes you to cast a spell from the wanda445 the spell's save DC is 15. If the spell normally has a range expressed in feeta445 its range becomes 120 feet if it isn't already.a446If an effect covers an areaa445 you must center the spell on and include the target. If an effect has multiple possible subjectsa445 the DM randomly determines which ones are affected.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into dust and is destroyed.a446d100        Effecta44601-05        You cast slow.a44606-10        You cast faerie fire.a44611-15        You are stunned until the start of your next turna445 believing something awesome just happened.a44616-20        You cast gust of wind.a44621-25        You cast detect thoughts on the target you chose. If you didn't target a creaturea445 you instead take 1d6 psychic damage.a44626-30        You cast stinking cloud.a44631-33        Heavy rain falls in a 60-foot radius centered on the target. The area becomes lightly obscured. The rain falls until the start of your next turn.a44634-36        An animal appears in the unoccupied space nearest the target. The animal isn't under your control and acts as it normally would. Roll a d100 to determine which animal appears. On a 01-25a445 a rhinoceros appears; on a 26-50a445 an elephant appears; and on a 51-100a445 a rat appears.a44637-46        You cast lightning bolt.a44647-49        A cloud of 600 oversized butterflies fills a 30-foot radius centered on the target. The area becomes heavily obscured. The butterflies remain for 10 minutes.a44650-53        You enlarge the target as if you had cast enlarge/reduce. If the target can't be affected by that spell or if you didn't target a creaturea445 you become the target.a44654-58        You cast darkness.a44659-62        Grass grows on the ground in a 60-foot radius centered on the target. If grass is already therea445 it grows to ten times its normal size and remains overgrown for 1 minute.a44663-65        An object of the DM 's choice disappears into the Ethereal Plane. The object must be neither worn nor carrieda445 within 120 feet of the targeta445 and no larger than 10 feet in any dimension.a44666-69        You shrink yourself as if you had cast enlarge/reduce on yourself.a44670-79        You cast fireball.a44680-84        You cast invisibility on yourself.a44685-87        Leaves grow from the target. If you chose a point in space as the targeta445 leaves sprout from the creature nearest to that point. Unless they are picked offa445 the leaves turn brown and fall off after 24 hours.a44688-90        A stream of 1d4 × 10 gemsa445 each worth 1 gpa445 shoots from the wand 's tip in a line 30 feet long and 5 feet wide. Each gem deals 1 bludgeoning damagea445 and the total damage of the gems is divided equally among all creatures in the line.a44691-95        A burst of colorful shimmering light extends from you in a 30-foot radius. You and each creature in the area that can see must succeed on a DC 15 Constitution saving throw or become blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turnsa445 ending the effect on itself on a success.a44696-97        The target's skin turns bright blue for 1d10 days. If you chose a point in spacea445 the creature nearest to that point is affected.a44698-00        If you targeted a creaturea445 it must make a DC 15 Constitution saving throw. If you didn't target a creaturea445 you become the target and must make the saving throw. If the saving throw fails by 5 or morea445 the target is instantly petrified. On any other failed savea445 the target is restrained and begins to turn to stone. While restrained in this waya445 the target must repeat the saving throw at the end of its next turna445 becoming petrified on a failure or ending the effect on a success. The petrification lasts until the target is freed by the greater restoration spell or similar magic.,DMGa445 page 212,Yes,Yes,a
Wand of Polymorph,Very Rare,Yes,Wand,32000,No,Woodcarver’s Tools,Polymorph,,,This wand has 7 charges. While holding ita445 you can use an action to expend 1 of its charges to cast the polymorph spell (save DC 15) from it.a446The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last chargea445 roll a d20. On a 1a445 the wand crumbles into ashes and is destroyed.,DMGa445 page 211,Yes,Yes,a
Staff (All staves may be used as Quarterstaves),,,,,,,,,,,,,,a
Staff of Adornment,Common,No,Quarterstaff,50,No,Carpenter’s Tools,,,,If you place an object weighing no more than 1 pound (such as a shard of crystala445 an egga445 or a stone) above the tip of the staff while holding ita445 the object floats an inch from the staff's tip and remains there until it is removed or until the staff is no longer in your possession. The staff can have up to three such objects floating over its tip at any given time. While holding the staffa445 you can make one or more of the objects slowly spin or turn in place.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,XGEa445 page 139,Yes,Yes,a
Staff of Birdcalls,Common,No,Quarterstaff,70,No,Carpenter’s Tools,,,,This wooden staff is decorated with bird carvings. It has 10 charges. While holding ita445 you can use an action to expend 1 charge from the staff and cause it to create one of the following sounds out to a range of 60 feet: a finch's chirpa445 a raven's cawa445 a duck's quacka445 a chicken's clucka445 a goose's booka445 a loon's calla445 a turkey's gobblea445 a seagull's crya445 an owl's hoota445 or an eagle's shriek.a446The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1a445 the staff explodes in a harmless cloud of bird feathers and is lost forever.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,XGEa445 page 139,Yes,Yes,a
Staff of Flowers,Common,No,Quarterstaff,50,No,Carpenter’s Tools,,,,This wooden staff has 10 charges. While holding ita445 you can use an action to expend 1 charge from the staff and cause a flower to sprout from a patch of earth or soil within 5 feet of youa445 or from the staff itself. Unless you choose a specific kind of flowera445 the staff creates a mildscented daisy. The flower is harmless and nonmagicala445 and it grows or withers as a normal flower would. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1a445 the staff turns into flower petals and is lost forever.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,XGEa445 page 139,Yes,Yes,a
Skyblinder Staff,Uncommon,Yes,Quarterstaff,375,No,Carpenter’s Tools,,,,You gain a +1 bonus to attack and damage rolls made with this magic quarterstaff. While holding ita445 you gain a +1 bonus to spell attack rolls.a446If a flying creature you can see within 30 feet of you makes an attack roll against youa445 you can use your reaction to hold the staff aloft and cause it to flare with light. The attacker has disadvantage on the attack rolla445 and it must succeed on a DC 15 Constitution saving throw or be blinded until the start of its next turn.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,GGRa445 page 181,Yes,Yes,a
Staff of the Adder,Uncommon,Yes,Quarterstaff,1800,No,Carpenter’s Tools,,,,You can use a bonus action to speak this staff's command word and make the head of the staff become that of an animate poisonous snake for 1 minute. By using another bonus action to speak the command word againa445 you return the staff to its normal inanimate form.a446You can make a melee attack using the snake heada445 which has a reach of 5 feet. Your proficiency bonus applies to the attack roll. On a hita445 the target takes 1d6 piercing damage and must succeed on a DC 15 Constitution saving throw or take 3d6 poison damage.a446The snake head can be attacked while it is animate. It has an Armor Class of 15 and 20 hit points. If the head drops to 0 hit pointsa445 the staff is destroyed. As long as it's not destroyeda445 the staff regains all lost hit points when it reverts to its inanimate form.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 203,Yes,Yes,a
Staff of the Python,Uncommon,Yes,Quarterstaff,2000,No,Carpenter’s Tools,,,,You can use an action to speak this staff's command word and throw the staff on the ground within 10 feet of you. The staff becomes a giant constrictor snake under your control and acts on its own initiative count. By using a bonus action to speak the command word againa445 you return the staff to its normal form in a space formerly occupied by the snake.a446On your turna445 you can mentally command the snake if it is within 60 feet of you and you aren't incapacitated. You decide what action the snake takes and where it moves during its next turna445 or you can issue it a general commanda445 such as to attack your enemies or guard a location.a446If the snake is reduced to 0 hit pointsa445 it dies and reverts to its staff form. The staff then shatters and is destroyed. If the snake reverts to staff form before losing all its hit pointsa445 it regains all of them.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 204,Yes,Yes,a
Gulthias Staff,Rare,Yes,Quarterstaff,2200,No,Carpenter’s Tools,,Blight,,Made from the branch of a Gulthias tree (see the blights entry of the Monster Manual)a445 a Gulthias staff is a spongya445 black length of wood. Its evil makes beasts visibly uncomfortable while within 30 feet of it. The staff has 10 charges and regains 1d6 + 4 of its expended charges daily at dusk.a446If the staff is broken or burned to ashesa445 its wood releases a terriblea445 inhuman scream that can be heard out to a range of 300 feet. All blights that can hear the scream immediately wither and die.a446Vampiric Strike. The staff can be wielded as a magic quarterstaff. On a hita445 it deals damage as a normal quarterstaffa445 and you can expend 1 charge to regain a number of hit points equal to the damage dealt by the weapon. Each time a charge is spenta445 red blood oozes from the staff's poresa445 and you must succeed on a DC 12 Wisdom saving throw or be afflicted with short term madness (see Madness in chapter 8 of the Dungeon Master's Guide).a446Blight Bane. While you are attuned to the staffa445 blights and other evil plant creatures don't regard you as hostile unless you harm them.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,CoSa445 page 221,Yes,Yes,a
Spider Staff,Rare,Yes,Quarterstaff,1750,No,Smith's Tools,,Adamantire (auto-crits on objects),,The top of this blacka445 adamantine staff is shaped like a spider. The staff weighs 6 pounds. You must be attuned to the staff to gain its benefits and cast its spells. The staff can be wielded as a quarterstaff. It deals 1d6 extra poison damage on a hit when used to make a weapon attack.a446The staff has 10 chargesa445 which are used to fuel the spells within it. With the staff in handa445 you can use your action to cast one of the following spells from the staff if the spell is on your class's spell list: spider climb (1 charge) or web (2 chargesa445 spell save DC 15). No components are required.a446The staff regains 1d6 + 4 expended charges each day at dusk. If you expend the staff's last chargea445 roll a d20. On a 1a445 the staff crumbles to dust and is destroyed.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,LMoPa445 page 53,Yes,Yes,a
Staff of Charming,Rare,Yes,Quarterstaff,12000,No,Carpenter’s Tools,Charm Person  Command  Comprehend Languages,,,While holding this staffa445 you can use an action to expend 1 of its 10 charges to cast charm persona445 commanda445 or comprehend languages from it using your spell save DC. The staff can also be used as a magic quarterstaff.a446If you are holding the staff and fail a saving throw against an enchantment spell that targets only youa445 you can turn your failed save into a successful one. You can't use this property of the staff again until the next dawn. If you succeed on a save against an enchantment spell that targets only youa445 with or without the staff's interventiona445 you can use your reaction to expend 1 charge from the staff and turn the spell back on its caster as if you had cast the spell.a446The staff regains 1d8 + 2 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1a445 the staff becomes a nonmagical quarterstaff.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 201,Yes,Yes,a
Staff of Defense,Rare,Yes,Quarterstaff,3400,No,Carpenter’s Tools,Mage Armor Shield,,,This slendera445 hollow staff is made of glass yet is as strong as oak. It weighs 3 pounds. You must be attuned to the staff to gain its benefits and cast its spells.a446While holding the staffa445 you have a +1 bonus to your Armor Class.a446The staff has 10 chargesa445 which are used to fuel the spells within it. With the staff in handa445 you can use your action to cast one of the following spells from the staff if the spell is on your class's spell list: mage armor (1 charge) or shield (2 charges). No components are required.a446The staff regains 1d6 + 4 expended charges each day at dawn. If you expend the staff's last chargea445 roll a d20. On a 1a445 the staff shatters and is destroyed.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,LMoPa445 page 53,Yes,Yes,a
Staff of Healing,Rare,Yes,Quarterstaff,13000,No,Carpenter’s Tools,Cure Wounds  Lesser Restoration  Mass Cure Wounds,,,This staff has 10 charges. While holding ita445 you can use an action to expend 1 or more of its charges to cast one of the following spells from ita445 using your spell save DC and spellcasting ability modifier: cure wounds (1 charge per spell levela445 up to 4th)a445 lesser restoration (2 charges). or mass cure wounds (5 charges).a446The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1. the staff vanishes in a flash of lighta445 lost forever.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 202,Yes,Yes,a
Staff of Swarming Insects,Rare,Yes,Quarterstaff,16000,No,Carpenter’s Tools,Giant Insect  Insect Plague,,,This staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1a445 a swarm of insects consumes and destroys the staffa445 then disperses.a446Spells. While holding the staffa445 you can use an action to expend some of its charges to cast one of the following spells from ita445 using your spell save DC: giant insect (4 charges) or insect plague (5 charges).a446Insect Cloud. While holding the staffa445 you can use an action and expend 1 charge to cause a swarm of harmless flying insects to spread out in a 30-foot radius from you. The insects remain for 10 minutesa445 making the area heavily obscured for creatures other than you. The swarm moves with youa445 remaining centered on you. A wind of at least 10 miles per hour disperses the swarm and ends the effect.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 203,Yes,Yes,a
Staff of the Woodlands,Rare,Yes,Quarterstaff,44000,No,Carpenter’s Tools,animal friendship  awaken  barkskin  locate animals or plants  speak with animals  speak with plants  wall of thorns  pass without trace,,,This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding ita445 you have a +2 bonus to spell attack rolls.a446The staff has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. If you expend the last chargea445 roll a d20. On a 1a445 the staff loses its properties and becomes a nonmagical quarterstaff.a446Spells. You can use an action to expend 1 or more of the staff's charges to cast one of the following spells from ita445 using your spell save DC: animal friendship (1 charge)a445 awaken (5 charges)a445 barkskin (2 charges)a445 locate animals or plants (2 charges)a445 speak with animals (1 charge)a445 speak with plants (3 charges)a445 or wall of thorns (6 charges).a446You can also use an action to cast the pass without trace spell from the staff without using any charges.a446Tree Form. You can use an action to plant one end of the staff in fertile earth and expend 1 charge to transform the staff into a healthy tree. The tree is 60 feet tall and has a 5-foot-diameter trunka445 and its branches at the top spread out in a 20-foot radius. The tree appears ordinary but radiates a faint aura of transmutation magic if targeted by detect magic. While touching the tree and using another action to speak its command worda445 you return the staff to its normal form. Any creature in the tree falls when it reverts to a staff.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 204,Yes,Yes,a
Staff of Withering,Rare,Yes,Quarterstaff,3000,No,Carpenter’s Tools,,,,This staff has 3 charges and regains 1d3 expended charges daily at dawn.a446The staff can be wielded as a magic quarterstaff. On a hita445 it deals damage as a normal quarterstaffa445 and you can expend 1 charge to deal an extra 2d10 necrotic damage to the target. In additiona445 the target must succeed on a DC 15 Constitution saving throw or have disadvantage for 1 hour on any ability check or saving throw that uses Strength or Constitution.a446Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,DMGa445 page 205,Yes,Yes,a
